"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"11127","Ophiophragmus mirus",4305453,"Ophiophragmus moorei Thomas, 1965","species","ACCEPTED","FUZZY","Ophiophragmus moorei",14,"Animalia","Echinodermata","Amphilepidida","Amphiuridae","Ophiophragmus","Ophiophragmus moorei",1,50,350,9661062,5680,2277644,4305453,FALSE,"Ophiuroidea","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"15192","Acanthascus mitis",2236219,"Acanthascus mollis (Schulze, 1886)","species","SYNONYM","FUZZY","Acanthascus mollis",8,"Animalia","Porifera","Lyssacinosida","Rossellidae","Rhabdocalyptus","Rhabdocalyptus mollis",1,105,146,1113,3223,2236016,2236220,TRUE,"Hexactinellida","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; 2 synonym homonyms; nextMatch=0",2236220
"15193","Acanthascus mitis",11001890,"Acanthascus mollis (Schulze, 1886)","species","SYNONYM","FUZZY","Acanthascus mollis",8,"Animalia","Porifera","Lyssacinosida","Rossellidae","Rhabdocalyptus","Rhabdocalyptus mollis",1,105,146,1113,3223,2236016,2236220,TRUE,"Hexactinellida","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0",2236220
"15439","Aeolidia grandis",2085567,"Aonidia grandis Lindinger, 1937","species","SYNONYM","FUZZY","Aonidia grandis",0,"Animalia","Arthropoda","Hemiptera","Diaspididae","Gymnaspis","Gymnaspis grandis",1,54,216,809,4521,2085551,2085566,TRUE,"Insecta","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2085566
"15467","Agalma clavata",7845596,"Aglaia clavata Brady, 1880","species","SYNONYM","FUZZY","Aglaia clavata",73,"Animalia","Arthropoda","Podocopida","Pontocyprididae","Argilloecia","Argilloecia clavata",1,54,353,1438,9272,1028965,4807726,TRUE,"Ostracoda","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",4807726
"15721","Amphiblestrum trifolium var. quadrata",5712722,"Amphiblestrum trifolium guadrata (Hincks, 1880)","subspecies","ACCEPTED","FUZZY","Amphiblestrum trifolium guadrata",0,"Animalia","Bryozoa","Cheilostomatida","Calloporidae","Amphiblestrum","Amphiblestrum trifolium",1,53,252,467,5797,1007201,5712720,FALSE,"Gymnolaemata","Similarity: name=5; authorship=0; classification=-2; rank=-9; status=1; singleMatch=5",NA
"15751","Amphioda urtica",2277736,"Amphiodia urtica (Lyman, 1860)","species","ACCEPTED","FUZZY","Amphiodia urtica",79,"Animalia","Echinodermata","Amphilepidida","Amphiuridae","Amphiodia","Amphiodia urtica",1,50,350,9661062,5680,2278221,2277736,FALSE,"Ophiuroidea","Similarity: name=75; authorship=0; classification=-2; rank=5; status=1; nextMatch=0",NA
"15752","Amphioda urtica",8277511,"Amphiodia urtica (Lyman, 1860)","species","SYNONYM","FUZZY","Amphiodia urtica",78,"Animalia","Echinodermata","Amphilepidida","Amphiuridae","Amphiodia","Amphiodia urtica",1,50,350,9661062,5680,2278221,2277736,TRUE,"Ophiuroidea","Similarity: name=75; authorship=0; classification=-2; rank=5; status=0",2277736
"15753","Amphioda urtica",4340553,"Amphiura urtica Lyman, 1860","species","SYNONYM","FUZZY","Amphiura urtica",68,"Animalia","Echinodermata","Amphilepidida","Amphiuridae","Amphiodia","Amphiodia urtica",1,50,350,9661062,5680,2278221,2277736,TRUE,"Ophiuroidea","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0",2277736
"16479","Atylis tridens",2216913,"Atylus tridens (Alderman, 1936)","species","ACCEPTED","FUZZY","Atylus tridens",79,"Animalia","Arthropoda","Amphipoda","Atylidae","Atylus","Atylus tridens",1,54,229,1231,3254502,2216906,2216913,FALSE,"Malacostraca","Similarity: name=75; authorship=0; classification=-2; rank=5; status=1; nextMatch=0",NA
"16655","Beringion kennicottii",2304963,"Beringius kennicottii (Dall, 1871)","species","ACCEPTED","FUZZY","Beringius kennicottii",69,"Animalia","Mollusca","Neogastropoda","Buccinidae","Beringius","Beringius kennicottii",1,52,225,982,2696,2304959,2304963,FALSE,"Gastropoda","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1; nextMatch=0",NA
"16656","Beringion kennicottii",11065001,"Beringius kennicotti","species","SYNONYM","FUZZY","Beringius kennicotti",68,"Animalia","Mollusca","Neogastropoda","Buccinidae","Beringius","Beringius kennicottii",1,52,225,982,2696,2304959,2304963,TRUE,"Gastropoda","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0",2304963
"17169","Calligorgia compressa",2262000,"Callogorgia compressa (Verrill, 1865)","species","ACCEPTED","FUZZY","Callogorgia compressa",79,"Animalia","Cnidaria","Alcyonacea","Primnoidae","Callogorgia","Callogorgia compressa",1,43,206,1437,9238,2261958,2262000,FALSE,"Anthozoa","Similarity: name=75; authorship=0; classification=-2; rank=5; status=1; nextMatch=0",NA
"17170","Calligorgia compressa",11313960,"Caligorgia compressa (Verrill, 1865)","species","SYNONYM","FUZZY","Caligorgia compressa",78,"Animalia","Cnidaria","Alcyonacea","Primnoidae","Callogorgia","Callogorgia compressa",1,43,206,1437,9238,2261958,2262000,TRUE,"Anthozoa","Similarity: name=75; authorship=0; classification=-2; rank=5; status=0",2262000
"17246","Campylaspis carinata",2214789,"Campylaspis bicarinata Jones, 1974","species","ACCEPTED","FUZZY","Campylaspis bicarinata",14,"Animalia","Arthropoda","Cumacea","Nannastacidae","Campylaspis","Campylaspis bicarinata",1,54,229,1500,3217,2214722,2214789,FALSE,"Malacostraca","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"17525","Cerebratulus randis",2507828,"Cerebratulus grandis O.S.Jensen, 1878","species","SYNONYM","FUZZY","Cerebratulus grandis",13,"Animalia","Nemertea","Heteronemertea","Lineidae","Cerebratulus","Cerebratulus marginatus",1,63,9981053,10494416,6296,11228344,2507827,TRUE,"Pilidiophora","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2507827
"17535","Cerithiopsis dina",10692065,"Cerithiopsis dannyi Cecalupo & Perugia, 2020","species","ACCEPTED","FUZZY","Cerithiopsis dannyi",9,"Animalia","Mollusca",NA,"Cerithiopsidae","Cerithiopsis","Cerithiopsis dannyi",1,52,225,NA,2676,2301757,10692065,FALSE,"Gastropoda","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1",NA
"17536","Cerithiopsis dina",7789885,"Cerithiopsis erna Bartsch, 1915","species","ACCEPTED","FUZZY","Cerithiopsis erna",9,"Animalia","Mollusca",NA,"Cerithiopsidae","Cerithiopsis","Cerithiopsis erna",1,52,225,NA,2676,2301757,7789885,FALSE,"Gastropoda","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1",NA
"17623","Chiton armatus",6076102,"Chiton alatus G.B.Sowerby II, 1841","species","SYNONYM","FUZZY","Chiton alatus",8,"Animalia","Mollusca","Chitonida","Ischnochitonidae","Stenoplax","Stenoplax alata",1,52,346,8278247,7625,10973552,2306751,TRUE,"Polyplacophora","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0",2306751
"17624","Chiton armatus",4370514,"Chiton arbutum Reeve, 1847","species","SYNONYM","FUZZY","Chiton arbutum",8,"Animalia","Mollusca","Chitonida","Ischnochitonidae","Ischnochiton","Ischnochiton arbutum",1,52,346,8278247,7625,2306523,2306535,TRUE,"Polyplacophora","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0",2306535
